word,x,y,node_id
人道主義,0.28256562746528957,0.21936562489590866,0
還有,0.3159779455337205,-0.11532489523638102,1
地方,0.4104502212226719,-0.00359495311690283,2
一條,0.3887894265317043,0.17117176009055324,3
好像,0.1674076825149957,-0.006794578985223021,4
一陣,-0.027363116413338384,0.3271728762536573,5
一般,0.15465538501822798,0.2188671782147035,6
一隻,0.11055915282803917,0.3702595617208867,7
似的,-0.2762012474926815,0.10479935188522348,8
先生,0.24124694674208483,-0.3981782230905015,9
眼睛,0.06537141769056524,-0.2003965791984752,10
人們,-0.06926985433662203,-0.012156333684790317,11
只是,0.8394751627862342,-0.13822272448203915,12
有些,0.6772008638608424,-0.4095868254750572,13
後來,0.6177161683578282,-0.10538366978060523,14
一位,0.3346423667618261,0.6340625747143556,15
坐在,0.5729051262100476,0.4737496967187599,16
老,-0.3320216409328163,0.7253559692979289,17
死,-0.6482960452475793,0.2596083236222049,18
因爲,-0.6161068913390678,0.8269161143560579,19
就是,-0.09383295737914031,0.9327657604267544,20
時候,-0.8879689159537321,-0.661100503425828,21
一切,-1.0,0.4243629183971752,22
大家,-0.36743691700761544,-0.9286895749451636,23
一樣,-0.46936040989735356,-0.3172766312297454,24
朋友,0.09006034138265186,-0.9719944793521277,25
時間,-0.8241476287130659,-0.45059686828996787,26
一天,0.342981789806281,-0.9691608703013598,27
